MAC,Model,Model Alias,Model Type,Device Classification,MCATS/ CATS,Rack,Location,Location Site,Placement Type,Team Name,Used For,Device Owner (Primary),Utilisation % (Jan 1 to Jan 15),Utilisation % Week 4 (Jan 16 to Jan 25),Utilisation % Week 5 (Jan 26 to Feb 1),Utilisation % Week 6 (Feb 2 to Feb 8),Utilisation % Week 7 (Feb 9 to Feb 15),Utilisation % Week 8 (Feb 16 to Feb 22),"Utilisation % Week 9,10 (Feb 22 to Mar 8)",Automatics Filter name,INFRA Tickets,Device Repurpose,
PERFORMANCE DEVICES,,,,,,,,,,,,,,,,,,,,,,,
90:02:18:FF:C2:21,SKXI11ADS,SKY-XIONE-UK,SKY_XIONE_UK,Sky Stream,CATS,207.04,Onsite,Downingtown,Rack,LRQA,RDKE Performance,Suriya,4.07,7.75,10.32,8.33,2.22,2.06,10.11,,,,
90:02:18:FF:C1:BE,SKXI11ADS,SKY-XIONE-UK,SKY_XIONE_UK,Sky Stream,CATS,207.04,Onsite,Downingtown,Rack,LRQA,RDKE Performance,Suriya,0.26,4.1,6.74,13.25,3.98,4.74,17.38,,,,
38:A6:CE:FF:FA:14,SKXI11ADS,SKY-XIONE-UK,SKY_XIONE_UK,Sky Stream,CATS,207.02,Onsite,Downingtown,Rack,LRQA,RDKE Performance,Suriya,4.47,28.79,7.61,20.4,56.39,10.88,7.86,,,,
38:A6:CE:FF:FE:0D,SKXI11ADS,SKY-XIONE-UK,SKY_XIONE_UK,Sky Stream,CATS,207.02,Onsite,Downingtown,Rack,LRQA,RDKE Performance,Suriya,4.32,31.54,7.64,15.05,44.68,10.76,18.64,,,,
38:A6:CE:FF:FA:2C,SKXI11ADS,SKY-XIONE-UK,SKY_XIONE_UK,Sky Stream,CATS,207.02,Onsite,Downingtown,Rack,LRQA,RDKE Performance,Suriya,8.19,16.22,8.94,11.21,55.84,10.76,20.98,,,,
F0:46:3B:5B:E0:B2,SCXI11BEI,Sercomm-Broadcom-XiOne,SERCOMM_BROADCOM_FLEX2_0,Xumo Stream,CATS,CIEC-MOD7-R4R13,Offshore,Chennai,Rack,LRQA,RDKE Performance,Suriya,1.12,31.96,12.37,10.06,25.5,1.07,12.23,,,,
F0:46:3B:5C:02:9C,SCXI11BEI,Sercomm-Broadcom-XiOne,SERCOMM_BROADCOM_FLEX2_0,Xumo Stream,CATS,CIEC-MOD7-R4R13,Offshore,Chennai,Rack,LRQA,RDKE Performance,Suriya,3.06,31.52,11.64,12.8,35.21,1.07,25.25,,,,
F0:46:3B:5B:FA:68,SCXI11BEI,Sercomm-Broadcom-XiOne,SERCOMM_BROADCOM_FLEX2_0,Xumo Stream,CATS,CIEC-MOD7-R4R13,Offshore,Chennai,Rack,LRQA,RDKE Performance,Suriya,1.48,32.39,11.66,3.85,37.29,1.07,25.46,,,,
F0:46:3B:5B:FA:F2,SCXI11BEI,Sercomm-Broadcom-XiOne,SERCOMM_BROADCOM_FLEX2_0,Xumo Stream,CATS,CIEC-MOD7-R4R13,Offshore,Chennai,Rack,LRQA,RDKE Performance,Suriya,2.91,4.79,10.05,8.41,37.29,1.62,25.5,,,,
F0:46:3B:5C:02:90,SCXI11BEI,Sercomm-Broadcom-XiOne,SERCOMM_BROADCOM_FLEX2_0,Xumo Stream,CATS,CIEC-MOD7-R4R13,Offshore,Chennai,Rack,LRQA,RDKE Performance,Suriya,1.12,31.93,9.86,9.54,37.29,1.07,15.49,,,,
F0:46:3B:5C:02:1E,SCXI11BEI,Sercomm-Broadcom-XiOne,SERCOMM_BROADCOM_FLEX2_0,Xumo Stream,CATS,CIEC-MOD7-R4R13,Offshore,Chennai,Rack,LRQA,RDKE Performance,Suriya,1.12,31.73,9.35,10.06,22.62,1.61,15.35,,,,
F0:46:3B:5B:E0:37,SCXI11BEI,Sercomm-Broadcom-XiOne,SERCOMM_BROADCOM_FLEX2_0_XFINITY,Xumo Stream,CATS,CIEC-MOD7-R4R13,Offshore,Chennai,Rack,LRQA,RDKE Performance,Suriya,1.4,3.18,5.78,9.89,39.23,0.51,11.6,,,,
F0:46:3B:5B:E0:82,SCXI11BEI,Sercomm-Broadcom-XiOne,SERCOMM_BROADCOM_FLEX2_0_XFINITY,Xumo Stream,CATS,CIEC-MOD7-R4R13,Offshore,Chennai,Rack,LRQA,RDKE Performance,Suriya,1.34,28.88,12.19,10.09,43.08,2.68,14.53,,,,
F0:46:3B:5C:00:71,SCXI11BEI,Sercomm-Broadcom-XiOne,SERCOMM_BROADCOM_FLEX2_0_XFINITY,Xumo Stream,CATS,CIEC-MOD7-R4R13,Offshore,Chennai,Rack,LRQA,RDKE Performance,Suriya,3.19,2.02,5.95,2.82,40.12,0.42,10.79,,,,
F0:46:3B:5B:DF:08,SCXI11BEI,Sercomm-Broadcom-XiOne,SERCOMM_BROADCOM_FLEX2_0_XFINITY,Xumo Stream,CATS,CIEC-MOD7-R4R12,Offshore,Chennai,Rack,LRQA,RDKE Performance,Suriya,1.55,0.94,5.37,13.56,40.02,12.47,13.54,,,,
F0:46:3B:5C:02:30,SCXI11BEI,Sercomm-Broadcom-XiOne,SERCOMM_BROADCOM_FLEX2_0_XFINITY,Xumo Stream,CATS,CIEC-MOD7-R4R12,Offshore,Chennai,Rack,LRQA,RDKE Performance,Suriya,1.65,1.69,5.37,6.95,40.01,0.42,20.52,,,,
F0:46:3B:5B:FE:16,SCXI11BEI,Sercomm-Broadcom-XiOne,SERCOMM_BROADCOM_FLEX2_0_XFINITY,Xumo Stream,CATS,CIEC-MOD7-R4R12,Offshore,Chennai,Rack,LRQA,RDKE Performance,Suriya,2.01,29.45,22.17,3.51,59.71,17.72,10.4,,,,
F0:46:3B:FA:DB:17,COESST11AEI,Sercomm-Realtek-ES1,SERCOMM_REALTEK_ES1,Xumo Stream,CATS,1717-CL43-RBR3,Onsite,Philadelphia,Rack,LRQA,RDKE Performance,Suriya,2.24,2.78,3.22,8.57,1.97,1.04,42.93,,,,
F0:46:3B:FA:DB:D7,COESST11AEI,Sercomm-Realtek-ES1,SERCOMM_REALTEK_ES1,Xumo Stream,CATS,1717-CL43-RBR3,Onsite,Philadelphia,Rack,LRQA,RDKE Performance,Suriya,2.62,1.19,4.27,8.57,1.77,0,42.93,,,,
F0:46:3B:FA:D5:8F,COESST11AEI,Sercomm-Realtek-ES1,SERCOMM_REALTEK_ES1,Xumo Stream,CATS,1717-CL43-RAR2,Onsite,Philadelphia,Rack,LRQA,RDKE Performance,Suriya,2.28,1.32,3.22,7.72,2.53,1.04,42.68,,,,
F0:46:3B:FA:D4:B4,COESST11AEI,Sercomm-Realtek-ES1,SERCOMM_REALTEK_ES1,Xumo Stream,CATS,1717-CL43-RAR2,Onsite,Philadelphia,Rack,LRQA,RDKE Performance,Suriya,2.28,20.04,39.69,7.56,1.54,0.02,42.69,,,,
F0:46:3B:FA:D3:AC,COESST11AEI,Sercomm-Realtek-ES1,SERCOMM_REALTEK_ES1,Xumo Stream,CATS,1717-CL43-RAR2,Onsite,Philadelphia,Rack,LRQA,RDKE Performance,Suriya,2.36,20.04,39.69,7.56,2.06,1.04,42.68,,,,
F0:46:3B:FA:DC:0A,COESST11AEI,Sercomm-Realtek-ES1,SERCOMM_REALTEK_ES1,Xumo Stream,CATS,1717-CL43-RBR3,Onsite,Philadelphia,Rack,LRQA,RDKE Performance,Suriya,2.09,2.78,3.22,8.57,24.14,1.04,42.93,,,,
RDKE FUNCTIONAL/SANITY/REGRESSION EXECUTION,,,,,,,,,,,,,,,,,,,,,,,
38:A6:CE:FF:FD:2C,SKXI11ADS,SKY-XIONE-UK,SKY_XIONE_UK,Sky Stream,CATS,CIEC-MOD7-R5R10,Offshore,Chennai,Rack,LRQA,Automation/Execution,Sumathi,NA,NA,NA,NA,4.39,3.61,4.15,,,move to CI,
04:B8:6A:17:98:B8,SKXI11ADS,SKY-XIONE-UK,SKY_XIONE_UK,Sky Stream,CATS,CIEC-MOD7-R5R10,Offshore,Chennai,Rack,LRQA,Automation/Execution,Sumathi,6.58,3.74,13.61,10.99,7.69,2.05,2.62,,,move to CI,
38:A6:CE:FF:FA:E3,SKXI11ADS,SKY-XIONE-UK,SKY_XIONE_UK,Sky Stream,CATS,CIEC-MOD7-R5R10,Offshore,Chennai,Rack,LRQA,Automation/Execution,Sumathi,NA,NA,NA,NA,5.36,2.42,0,,,move to CI,
D4:DA:CD:BA:28:CE,SKXI11ADS,SKY-XIONE-UK,SKY_XIONE_UK,Sky Stream,CATS,220.08,Onsite,Downingtown,Rack,LRQA,Automation/Execution,Swathikaa,0.64,2.86,8.93,10.9,16.31,2.05,17.99,RDKE_UK_FUNCTIONAL_NG_WNG,,,
04:B8:6A:14:5D:54,SKXI11ADS,SKY-XIONE-UK,SKY_XIONE_UK,Sky Stream,MCATS,1717-4321-R1R6,Onsite,Philadelphia,Rack,LRQA,Automation/Execution,Vishnu,13.9,9.79,21.75,23.76,19.31,32.51,45.11,SANITY_UK_MCATS_NG_WNG,,,
04:B8:6A:16:0D:AB,SKXI11ADS,SKY-XIONE-UK,SKY_XIONE_UK,Sky Stream,MCATS,1717-4321-R1R6,Onsite,Philadelphia,Rack,LRQA,Automation/Execution,Saritha,34.97,35.68,46.92,62.2,35.01,15.95,17.9,SANITY_UK_MCATS_NG_WNG,,,
04:B8:6A:14:17:97,SKXI11ADS,SKY-XIONE-UK,SKY_XIONE_UK,Sky Stream,MCATS,1717-4321-R1R6,Onsite,Philadelphia,Rack,LRQA,Automation/Execution,Divya,24.35,23.07,38.98,56.58,27.39,22.85,23.61,,,,
D4:DA:CD:FF:A7:DA,SKXI11AEISODE,Sky-XiOne-DE,XIONE_ALPACA_DE,Sky Stream,CATS,CIEC-MOD7-R5R10,Offshore,Chennai,Rack,LRQA,Automation/Execution,Saritha,2.43,5.08,3.43,13.37,11.99,10.56,8.15,RDKE_SANITY_ALPACADE_CATS,,,
F0:46:3B:FA:D3:37,COESST11AEI,Sercomm-Realtek-ES1,SERCOMM_REALTEK_ES1,Xumo Stream,CATS,CIEC-MOD7-R5R15,Offshore,Chennai,Rack,LRQA,Automation/Execution,Rufus,5.77,2.15,2.39,12.4,4.23,2.14,2.14,RDKE_SERCOMM_REALTEK_ES1_SANITY_CATS,,,
F0:46:3B:FA:D6:1C,COESST11AEI,Sercomm-Realtek-ES1,SERCOMM_REALTEK_ES1,Xumo Stream,CATS,CIEC-MOD7-R5R15,Offshore,Chennai,Rack,LRQA,Automation/Execution,Rufus,3.7,32.85,49,11.43,2.83,40.84,21.95,RDKE_SERCOMM_REALTEK_ES1_SANITY_CATS,,,
F0:46:3B:0F:CC:0C,SCXI11AIC,Sercomm-Realtek-Xione,SERCOMM_REALTEK_XIONE_US,Xumo Stream,CATS,CIEC-M2R4R2-DEV,Offshore,Chennai,Rack,LRQA,Automation/Execution,Rufus,1.56,7.01,9.5,6.66,2.61,0.3,0.24,Need to create filter,,,
New Devices Added to private pool,,,,,,,,,,,,,,,,,,,,,,,
F0:46:3B:3D:0B:7D,SCXI11BEI,Sercomm-Broadcom-XiOne,SERCOMM_BROADCOM_FLEX2_0,Xumo Stream,MCATS,CIEC-M2R4R2-DEV,Offshore,Chennai,Rack,LRQA,Automation porting on Sercomm BCM Charter,Arun,22.48,22.78,3.41,13.42,18.14,28.52,50.24,,,,
F0:46:3B:5C:02:B4,SCXI11BEI,Sercomm-Broadcom-XiOne,SERCOMM_BROADCOM_FLEX2_0,Xumo Stream,MCATS,CIEC-M2R4R2-DEV,Offshore,Chennai,Rack,LRQA,Automation porting on Sercomm BCM Charter,Rebecca,13.39,25.46,6.3,21.24,70.59,27.1,37.96,,,,
F0:46:3B:5B:F6:0F,SCXI11BEI,Sercomm-Broadcom-XiOne,SERCOMM_BROADCOM_FLEX2_0,Xumo Stream,MCATS,CIEC-M2R4R2-DEV,Offshore,Chennai,Rack,LRQA,Automation/Execution,Rufus,,2.96,4.15,8.12,4.8,2.19,14.06,,,,
F0:46:3B:5B:FC:A2,SCXI11BEI,Sercomm-Broadcom-XiOne,SERCOMM_BCOM_ROGERS_WEST,Xumo Stream,MCATS,CIEC-M2R4R2-DEV,Offshore,Chennai,Rack,LRQA,Automation/Execution,Priyanka,3.66,2.17,2.35,20.11,2.24,2.13,2.13,,,,
F0:46:3B:5B:EC:2B,SCXI11BEI,Sercomm-Broadcom-XiOne,SERCOMM_BCOM_ROGERS_EAST,Xumo Stream,MCATS,CIEC-M2R4R2-DEV,Offshore,Chennai,Rack,LRQA,Automation/Execution,Priyanka,5.01,38.91,9.8,15.96,0.76,6.66,2.87,,,,
74:06:35:06:DD:EA,COESST11AEI,Sercomm-Realtek-ES1,SERCOMM_REALTEK_ES1,Xumo Stream,MCATS,CIEC-M2R4R2-DEV,Offshore,Chennai,Rack,LRQA,Automation porting on ES1,Sithara,16.99,39.63,26.16,18.11,39.5,52.43,24.18,,,,
F0:46:3B:00:EC:31,SCXI11AIC,Sercomm-Realtek-Xione,SERCOMM_REALTEK_XIONE_US,Xumo Stream,MCATS,CIEC-M2R4R2-DEV,Offshore,Chennai,Rack,LRQA,Replaced with Sercomm RTK (recently moved to Rack),Rufus,0.52,3.4,2.97,4.87,13.91,2.09,6.73,Need to create filter,,,
B0:45:30:FD:8A:BB,SKXI11ADSSOFT,ALPACA_FOXTEL,FOXTEL_PUCK,Sky Stream,MCATS,CIEC-M2R4R2-DEV,Offshore,Chennai,Rack,LRQA,To be replaced with WNC RTK. Device is not in good state (needs recovery & in Progress),Lokesh,1.04,6.01,7.39,8.63,6.99,8.63,7.47,,,,
SMART GUIDANCE,,,,,,,,,,,,,,,,,,,,,,,
D4:52:EE:DA:D6:13,SKXI11ADS,SKY-XIONE-UK,SKY_XIONE_UK,Sky Stream,MCATS,CIEC-MOD7-R5R9,Offshore,Chennai,Rack,LRQA,PAT  / SG Testing,Sumathi,5.79,2.25,7.85,14.4,20.69,13.25,9.06,,,,
