MAC,Model,Model Alias,Model Type,Device Classification,MCATS/ CATS,Rack,Location,Location Site,Placement Type,Team Name,Used for,Device Owner (Primary),Utilisation % (Jan 1 to Jan 15),Utilisation % Week 4 (Jan 16 to Jan 25),Utilisation % Week 5 (Jan 26 to Feb 1),Utilisation % Week 6 (Feb 2 to Feb 8),Utilisation % Week 7 (Feb 9 to Feb 15),Utilisation % Week 8 (Feb 16 to Feb 22),"Utilisation % Week 9,10 (Feb 22 to Mar 8)",Automatics Filter name,INFRA Tickets,Device Repurpose
PERFORMANCE DEVICES,,,,,,,,,,,,,,,,,,,,,,
1C:2F:A2:30:34:AF,XUSPTC11MWR,Element-Apache-4K-Panel,ELEMENT_APACHE_4K_PANEL_43,XUMO,CATS,CIEC-XUMO-SETUP01,Offshore,Chennai,Rack,LRQA,RDKE Performance,Lokesh,55.16,26.2,49,68.15,39.75,43.28,36.57,,,
A8:4A:63:1E:41:A4,ELTE11MWR,Element-MediaTek-Panel,ELEMENT_PANEL_65,XUMO,CATS,CIEC-XUMO-SETUP01,Offshore,Chennai,Rack,LRQA,RDKE Performance,Lokesh,51.7,28.39,48.81,64.02,39.47,37.15,44.46,,,
A8:4A:63:00:D0:A9,ELTE11MWR,Element-MediaTek-Panel,ELEMENT_PANEL_65,XUMO,CATS,CIEC-XUMO-SETUP03,Offshore,Chennai,Rack,LRQA,RDKE Performance,Lokesh,51.3,18.3,33.52,68.33,37.8,25.73,26.62,,,
B0:45:30:61:DD:08,SKTL11AEI,Llama-X3-Converter-UK,LLAMA_BOARD,Sky Glass,CATS,1717-43CL-RPR6,Onsite,Philadelphia,Rack,LRQA,RDKE Performance,Lokesh,2.67,4.64,1.3,2.4,,22.93,11.01,Porting Completed,,
B0:45:30:61:83:A7,SKTL11AEI,Llama-X3-Converter-UK,LLAMA_BOARD,Sky Glass,CATS,1717-43CL-RFR2,Onsite,Philadelphia,Rack,LRQA,RDKE Performance,Lokesh,2.24,1.49,1.35,1.3,,25.63,11.65,Porting Completed,,
B0:45:30:62:49:F2,SKTL11AEI,Llama-X3-Converter-UK,LLAMA_BOARD,Sky Glass,CATS,1717-43CL-RPR7,Onsite,Philadelphia,Rack,LRQA,RDKE Performance,Lokesh,1.99,8.31,8.58,9.64,,13.07,14.29,Porting Completed,,
FUNCTIONAL/SANITY EXECUTION,,,,,,,,,,,,,,,,,,,,,,
38:54:39:76:8E:AF,SHUHTS11MEI,Sharp-StepUp-Panel,SHARP_AMLOGIC_PANEL_RDKE,XUMO,CATS,CIEC-XUMO-SETUP01,Offshore,Chennai,Rack,LRQA,Automation/Execution,Kishor,21.93,30.23,44.42,60.79,47.71,58.58,38.15,RDKE_SANITY_SHARP_CATS,,Execute Functional suite for release testing
A8:4A:63:00:D0:92,ELTE11MWR,Element-MediaTek-Panel,ELEMENT_PANEL_65,XUMO,CATS,CIEC-IDF-PLATCO,Offshore,Chennai,Rack,LRQA,Automation/Execution,Kiran,0.52,4.2,35.14,49.7,49.66,23.69,29.23,,,Execute Functional suite for release testing
A8:4A:63:88:FC:04,PITU11MWR,Pioneer-Panel,PIONEER_PANEL,XUMO,CATS,CIEC-IDF-PLATCO,Offshore,Chennai,Rack,LRQA,Automation/Execution,Pooja,1.9,2.67,8.22,11.85,63.01,79.66,67.9,RDKE_PIONEER_SANITY_CATS,,Execute Functional suite for release testing
DC:9A:7D:78:A5:AB,HSTP12MWR,Hisense-V2-Board,HISENSE_V2_BOARD,XUMO,CATS,135.08,Onsite,Downingtown,Rack,LRQA,Automation/Execution,Rishi,0.53,2.73,2.29,0.91,0.96,8.47,2.1,RDKE_HISENSE_V2_PANEL_SANITY_CATS,,Execute Functional suite for release testing
DC:9A:7D:78:A5:A0,HSTP12MWR,Hisense-V2-Board,HISENSE_V2_BOARD,XUMO,MCATS,1717-CL43-RCR6,Onsite,Philadelphia,Rack,LRQA,Automation/Execution,Rishi,6.06,1.67,2.99,3.25,3.53,1.92,11.92,RDKE_HISENSE_V2_BOARD_FUNCTIONAL,,Execute Sanity/Regression suite for release testing
DC:9A:7D:F9:0B:7F,HSTP12MWR,Hisense-V2-Panel,HISENSE_V2_PANEL,XUMO,CATS,CIEC-XUMO-SETUP01,Offshore,Chennai,Rack,LRQA,Automation/Execution,Rishi,2.1,0.26,11.55,20.85,7.85,35.44,34.28,,,Execute Functional suite for release testing
RDKV FUNCTIONAL/SANITY/REGRESSION EXECUTION,,,,,,,,,,,,,,,,,,,,,,
B0:45:30:64:A8:F1,SKTL11AEI,Llama-X3-Converter-UK,LLAMA_BOARD,Sky Glass,CATS,135.08,Onsite,Downingtown,Rack,LRQA,Porting Completed for RDKE build,,1.54,5.04,6.16,0.09,,10.93,11.41,Plan to work next quarter in April,,
B0:45:30:63:62:1E,SKTL11AEI,Llama-X3-Converter-UK,LLAMA_BOARD,Sky Glass,CATS,135.08,Onsite,Downingtown,Rack,LRQA,Porting Completed for RDKE build,,2.19,0.26,0.23,0.07,,11,10.09,Plan to work next quarter in April,,
B0:45:30:61:F1:39,SKTL11AEI,Llama-X3-Converter-UK,LLAMA_BOARD,Sky Glass,CATS,212.05,Onsite,Downingtown,Rack,LRQA,Porting Completed for RDKE build,,0.96,1.51,1.49,3.38,,6.44,12.04,Plan to work next quarter in April,,
CI Devices,,,,,,,,,,,,,,,,,,,,,,
38:54:39:76:8E:E2,SHUHTS11MEI,Sharp-StepUp-Panel,SHARP_AMLOGIC_BOARD_RDKE,XUMO,CATS,CIEC-P3-RDKVDEV-05,Offshore,Chennai,Rack,LRQA,CI Testing,Sumathi,0,0.31,0,10.07,2.09,2.08,0.2,,,
38:54:39:76:8E:C2,SHUHTS11MEI,Sharp-StepUp-Panel,SHARP_AMLOGIC_BOARD_RDKE,XUMO,CATS,CIEC-P3-RDKVDEV-05,Offshore,Chennai,Rack,LRQA,CI Testing,Sumathi,0,0.06,1.04,2.11,0,0,0.56,,,
38:54:39:76:8E:B0,SHUHTS11MEI,Sharp-StepUp-Panel,SHARP_AMLOGIC_BOARD_RDKE,XUMO,CATS,CIEC-P3-RDKVDEV-05,Offshore,Chennai,Rack,LRQA,CI Testing,Sumathi,0,0.27,0.54,2.25,0,0,0.68,,,
38:54:39:76:8D:15,SHUHTS11MEI,Sharp-StepUp-Panel,SHARP_AMLOGIC_BOARD_RDKE,XUMO,CATS,CIEC-M2R4R2-DEV,Offshore,Chennai,Rack,LRQA,CI Testing,Sumathi,1.04,0.17,0,7.03,0,0,0.13,,,We dont get sharp builds regularly.
38:54:39:76:8E:90,SHUHTS11MEI,Sharp-StepUp-Panel,SHARP_AMLOGIC_BOARD_RDKE,XUMO,CATS,CIEC-M2R4R2-DEV,Offshore,Chennai,Rack,LRQA,CI Testing,Sumathi,2.35,0.16,0,7.1,0,0,0.13,,,
E8:51:9E:3C:C4:25,RDKV-XUMOTV-ELEMENTX3-US,NULL,NULL,XUMO,CATS,CIEC-P3-RDKVDEV-05,Offshore,Chennai,Rack,LRQA,CI Testing,Sumathi,0,0,0,10.46,3.25,0,0,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
