mac_address,model_name,model_alias,model_type,device_type,vendor,rack,location_scope,location_site,placement_type,team_name,usage_purpose,owner_name,utilization_week_7,utilization_week_8,automation_filter,infra_tickets,device_repurpose
1C:2F:A2:30:34:AF,XUSPTC11MWR,Element-Apache-4K-Panel,ELEMENT_APACHE_4K_PANEL_43,PANEL,Element,CIEC-XUMO-SETUP01,Offshore,Chennai,Rack,LRQA,RDKE Performance,Lokesh,39.75,43.28,,,
A8:4A:63:1E:41:A4,ELTE11MWR,Element-MediaTek-Panel,ELEMENT_PANEL_65,PANEL,Element,CIEC-XUMO-SETUP01,Offshore,Chennai,Rack,LRQA,RDKE Performance,Lokesh,39.47,37.15,,,
A8:4A:63:00:D0:A9,ELTE11MWR,Element-MediaTek-Panel,ELEMENT_PANEL_65,PANEL,Element,CIEC-XUMO-SETUP03,Offshore,Chennai,Rack,LRQA,RDKE Performance,Lokesh,37.8,25.73,,,
B0:45:30:61:DD:08,SKTL11AEI,Llama-X3-Converter-UK,LLAMA_BOARD,BOARD,Llama,1717-43CL-RPR6,Onsite,Philadelphia,Rack,LRQA,RDKE Performance,Lokesh,,22.93,Porting Completed,,
B0:45:30:61:83:A7,SKTL11AEI,Llama-X3-Converter-UK,LLAMA_BOARD,BOARD,Llama,1717-43CL-RFR2,Onsite,Philadelphia,Rack,LRQA,RDKE Performance,Lokesh,,25.63,Porting Completed,,
B0:45:30:62:49:F2,SKTL11AEI,Llama-X3-Converter-UK,LLAMA_BOARD,BOARD,Llama,1717-43CL-RPR7,Onsite,Philadelphia,Rack,LRQA,RDKE Performance,Lokesh,,13.07,Porting Completed,,
38:54:39:76:8E:AF,SHUHTS11MEI,Sharp-StepUp-Panel,SHARP_AMLOGIC_PANEL_RDKE,PANEL,Sharp,CIEC-XUMO-SETUP01,Offshore,Chennai,Rack,LRQA,Automation/Execution,Kishor,47.71,58.58,RDKE_SANITY_SHARP_CATS,,Execute Functional suite for release testing
A8:4A:63:00:D0:92,ELTE11MWR,Element-MediaTek-Panel,ELEMENT_PANEL_65,PANEL,Element,CIEC-IDF-PLATCO,Offshore,Chennai,Rack,LRQA,Automation/Execution,Kiran,49.66,23.69,,,Execute Functional suite for release testing
A8:4A:63:88:FC:04,PITU11MWR,Pioneer-Panel,PIONEER_PANEL,PANEL,Pioneer,CIEC-IDF-PLATCO,Offshore,Chennai,Rack,LRQA,Automation/Execution,Pooja,63.01,79.66,RDKE_PIONEER_SANITY_CATS,,Execute Functional suite for release testing
DC:9A:7D:78:A5:AB,HSTP12MWR,Hisense-V2-Board,HISENSE_V2_BOARD,BOARD,Hisense,135.08,Onsite,Downingtown,Rack,LRQA,Automation/Execution,Rishi,0.96,8.47,RDKE_HISENSE_V2_PANEL_SANITY_CATS,,Execute Functional suite for release testing
